feature,gain
clk_min_from_start,755
clk_pos,616
clk_min_to_end,538
lead1_hrv_hr,493
rm31_riiv_entropy,440
abs_acc_y_mean,420
rs121_frq_lf_hf,417
lead1_acc_count,413
rm121_hrv_sampen,406
lead1_ppg_amp_std,399
rm121_acc_x_mean,392
clk_cycle_sin,391
rs121_hrv_sd_ratio,390
rs31_hrv_max,387
rs5_e4_ibi_mean,385
rs121_ppg_rel_harm,381
lead3_hrv_hr,381
rm121_acc_y_mean,380
rs121_acc_x_mean,380
rs121_acc_y_mean,371
rs121_hrv_max,371
lead1_ppg_f_card,370
rs121_rsa_power,368
rs31_hrv_sd_ratio,366
lead1_ppg_rel_resp,365
rm121_acc_mag_mean,360
rs121_hrv_pnn50,356
abs_acc_x_mean,354
rm121_e4_hr_slope,354
lead1_ppg_card_conc,354
rs5_acc_mag_mean,352
rm31_e4_hr_range,346
rm31_riiv_rate,344
rs31_ppg_card_conc,343
rm121_acc_sec_std_med,343
rs31_acc_mag_mean,340
rs31_riiv_entropy,339
rm31_eda_slope,336
rm121_eda_slope,336
rs121_acc_sec_std_med,333
abs_ppg_rel_card,332
rm31_e4_hr_slope,331
rm31_frq_vlf,331
rs31_acc_still_frac,331
rs121_ppg_card_conc,330
rs121_riiv_power,330
rs121_acc_z_mean,329
rm31_hrv_sd_ratio,328
rm121_frq_vlf,325
rs121_ppg_f_card,325
rm31_riiv_conc,323
rs31_ppg_rel_resp,322
rs121_riiv_rate,322
rs31_acc_sec_std_med,321
rs121_ppg_rel_card,321
lead2_e4_hr_mean,321
rm31_tmp_slope,319
rs121_frq_hf_peak,319
rs121_rsa_rate,318
rm121_e4_ibi_mean,316
