variant,cv_acc,cv_std,cv_f1,app_acc,app_f1,oracle_folds,oracle_full,oracle_full_f1,secs,overrides
eegnet,0.4776152921266596,0.035746037185221,0.4717256534989339,0.4333333333333333,0.436423507733256,0.5875,0.55625,0.5545653409667661,98,model.name=eegnet
shallow,0.458882525616188,0.0407069492357457,0.4549109301260919,0.5,0.5029909776294649,0.6,0.5479166666666667,0.5504162504162503,90,model.name=shallow
conformer,0.4882947817113182,0.0333165980165376,0.4809554578670859,0.5888888888888889,0.570644318220038,0.5770833333333333,0.575,0.5755326755326756,415,model.name=conformer
shallow 4-40,0.47523305183893116,0.036044186492033795,0.4714088479442121,0.5555555555555556,0.5466588966588967,0.6229166666666667,0.6125,0.6147070257274767,93,"model.name=shallow preprocess.bandpass_hz=[4,40]"
shallow window 0.5-4.5,0.46235495261056314,0.034892318424878284,0.4586667132144007,0.4888888888888889,0.4865957890348134,0.5854166666666667,0.56875,0.5681639997690372,106,"model.name=shallow preprocess.window_s=[0.5,4.5]"
shallow + reflect,0.48018126108910364,0.04318780485456865,0.4759642521873449,0.5555555555555556,0.559074002821598,0.5833333333333334,0.5708333333333333,0.5618403755868545,90,model.name=shallow model.aug_reflect=true
shallow + chdrop 0.2,0.46169294541002265,0.04478616120556276,0.457583818148921,0.4444444444444444,0.4468692055341606,0.5645833333333333,0.5354166666666667,0.5333444049911789,87,model.name=shallow model.aug_channel_dropout=0.2
shallow + mixup 0.4,0.4694437188316705,0.04513540825106938,0.465439047107861,0.5166666666666667,0.518042646254784,0.5770833333333333,0.5708333333333333,0.5720166695334402,103,model.name=shallow model.mixup_alpha=0.4
shallow + freqshift 2,0.4698546604294994,0.03985896919247392,0.4656871109332218,0.49444444444444446,0.4997325168056876,0.6020833333333333,0.6229166666666667,0.6233896841474061,180,model.name=shallow model.aug_freq_shift_hz=2
shallow + reflect + chdrop + mixup,0.47735050703465476,0.03873607009740582,0.47136096245903464,0.49444444444444446,0.4978733672722744,0.5791666666666667,0.54375,0.5396724790644395,121,model.name=shallow model.aug_reflect=true model.aug_channel_dropout=0.2 model.mixup_alpha=0.4
shallow hierarchical,0.4595864820956262,0.042867466180329154,0.45706974963378644,0.5277777777777778,0.5261619153659237,0.5666666666666667,0.5479166666666667,0.5493855665871367,150,model.name=shallow model.hierarchical=true
shallow 120 epochs,0.45890618918591636,0.03575783544685462,0.4559035028722803,0.4722222222222222,0.4787259387985341,0.5854166666666667,0.5625,0.5634111062536769,184,model.name=shallow model.epochs=120
shallow no alignment,0.42936034871634243,0.036505373115525944,0.4183124209146184,0.34444444444444444,0.1904580212286938,0.55,0.5645833333333333,0.5609763387178531,96,model.name=shallow align.method=none
conformer + reflect,0.5062338997701983,0.04541766116105222,0.49555035171236456,0.5944444444444444,0.5767804241488452,0.6083333333333333,0.6020833333333333,0.5914535263886354,372,model.name=conformer model.aug_reflect=true
eegnet + reflect,0.4761728899949159,0.03477870979216129,0.4678736469450257,0.46111111111111114,0.4643437092099732,0.5479166666666667,0.5291666666666667,0.5210940308892493,129,model.name=eegnet model.aug_reflect=true
atcnet,0.48917354797504364,0.04215016006234669,0.47957698628424134,0.5722222222222222,0.5557590557590557,0.6479166666666667,0.6333333333333333,0.6390156848235303,334,model.name=atcnet
eegnex,0.47224011219481027,0.03775957111500139,0.46688882814749294,0.5055555555555555,0.49360274362688655,0.6333333333333333,0.5895833333333333,0.587231035834721,296,model.name=eegnex
