variant,cv_acc,cv_std,cv_f1,app_acc,app_f1,oracle_folds,oracle_full,oracle_full_f1,secs,overrides
"ts_lr base (8-30, 0.5-3.5, EA sess, cluster)",0.4525935701512831,0.057134214918843,0.4465792548836917,0.4777777777777778,0.480700841356579,0.65625,0.6604166666666667,0.6611871145272287,16,
no alignment,0.4306149584721003,0.0378319437233433,0.4201244321693237,0.3888888888888889,0.2890189520624303,0.6416666666666667,0.65,0.6404506885519544,24,align.method=none
riemann alignment,0.4640741124486706,0.0412099305307074,0.4607282341685227,0.4888888888888889,0.4918787878787878,0.6604166666666667,0.6708333333333333,0.6729020259333707,21,align.method=riemann
EA test_group=global,0.4525935701512831,0.057134214918843,0.4465792548836917,0.4777777777777778,0.480700841356579,0.6020833333333333,0.5979166666666667,0.5954125344061522,18,align.test_group=global
EA test_group=counter,0.4525935701512831,0.057134214918843,0.4465792548836917,0.4777777777777778,0.480700841356579,0.65,0.6666666666666666,0.6673735104602897,18,align.test_group=counter
EA train_group=subject,0.4180426208287572,0.0392717123124884,0.404293436743635,0.4166666666666667,0.4196727966548939,0.5791666666666667,0.55625,0.5425482111343419,18,align.train_group=subject
EA cov_window=window,0.450730843821803,0.0653600754949934,0.4477201574368687,0.4666666666666667,0.4678444861371691,0.675,0.6645833333333333,0.6590073853131297,21,align.cov_window=window
no highpass/notch (band only),0.4522147887147703,0.0569941403764037,0.4461553406949523,0.4777777777777778,0.480700841356579,0.6541666666666667,0.6604166666666667,0.6611871145272287,31,preprocess.highpass_hz=0 preprocess.notch_hz=[]
window 0-7,0.3915955234226384,0.0334347943015896,0.3854007369195634,0.3722222222222222,0.3654690373617514,0.5645833333333333,0.5541666666666667,0.540424733460852,20,"preprocess.window_s=[0,7]"
window 0.5-2.5,0.4578648339251018,0.0528498606823555,0.4515705149062209,0.4722222222222222,0.4729344729344729,0.6541666666666667,0.6479166666666667,0.6499639542201939,16,"preprocess.window_s=[0.5,2.5]"
window 0.5-4.5,0.4244419600718742,0.0360652107248348,0.4177624336993485,0.3888888888888889,0.3868807402611367,0.6145833333333334,0.6083333333333333,0.5986387690782736,17,"preprocess.window_s=[0.5,4.5]"
window 1.0-3.5,0.4449198559051356,0.049286184054989,0.4380900567731721,0.5166666666666667,0.5175064061004601,0.61875,0.6229166666666667,0.6220213487253176,18,"preprocess.window_s=[1.0,3.5]"
window 0.25-3.75,0.4414476866850126,0.0549331161512077,0.4350391513328232,0.5055555555555555,0.5075195195195196,0.6625,0.6604166666666667,0.6588557144106096,19,"preprocess.window_s=[0.25,3.75]"
band 4-40,0.4313594281006937,0.0468283858578551,0.4246724539926057,0.4277777777777777,0.4267537412810855,0.5833333333333334,0.5895833333333333,0.5841002884702445,37,"preprocess.bandpass_hz=[4,40]"
band 6-32,0.4420332298620884,0.0522693740812698,0.4357601053030627,0.4722222222222222,0.4726087156173945,0.625,0.63125,0.6292238675605816,39,"preprocess.bandpass_hz=[6,32]"
band 8-13,0.4446800565150317,0.0522240205208002,0.4409581007579113,0.3833333333333333,0.379828675656309,0.6020833333333333,0.6020833333333333,0.6006139889454558,40,"preprocess.bandpass_hz=[8,13]"
clip 6 sigma,0.4529379059296042,0.0569766120366813,0.4469835182507434,0.4944444444444444,0.4957341076569597,0.6520833333333333,0.6604166666666667,0.6614017116983025,21,preprocess.clip_sigma=6
250 Hz (no resample),0.4514321235794295,0.0581416473273253,0.445365714070723,0.4722222222222222,0.475781824389468,0.6541666666666667,0.6645833333333333,0.6649094959621276,46,preprocess.resample_hz=250
lr_C 0.1,0.4524323679654908,0.0570691207601833,0.4463560004335901,0.4777777777777778,0.480700841356579,0.6541666666666667,0.6645833333333333,0.6652798882236709,21,model.lr_C=0.1
lr_C 10,0.4524269034846164,0.0570843891289094,0.4464203113642,0.4777777777777778,0.4812617495544325,0.65625,0.6604166666666667,0.6611871145272287,23,model.lr_C=10
fbts_lr 4 bands,0.46097222650113884,0.03878658032339405,0.4567769267622605,0.4777777777777778,0.46564102564102566,0.5708333333333333,0.5708333333333333,0.5677557844843364,131,"model.name=fbts_lr preprocess.bandpass_hz=[4,40]"
fbts_lr 4 bands C=0.1,0.4611174450921551,0.036095383126472605,0.45668406142486095,0.4777777777777778,0.46994721253569965,0.575,0.5708333333333333,0.5669952228859024,159,"model.name=fbts_lr preprocess.bandpass_hz=[4,40] model.lr_C=0.1"
csp_lr,0.4693970897403073,0.05647967707919466,0.4619682078058628,0.4777777777777778,0.4729440926018169,0.6541666666666667,0.6416666666666667,0.6336388871904299,14,model.name=csp_lr
ts_lr hierarchical,0.4506806917013016,0.054849095982191516,0.44492144775622744,0.4722222222222222,0.4753975996902826,0.6541666666666667,0.6666666666666666,0.6672895368234905,33,model.hierarchical=true
fbts_lr hierarchical,0.4597420806292446,0.038549163587112134,0.455394212292187,0.4777777777777778,0.47185252023961705,0.5708333333333333,0.5666666666666667,0.5585695404190623,269,"model.name=fbts_lr preprocess.bandpass_hz=[4,40] model.hierarchical=true"
drop Fz (blink),0.4317172337103818,0.046324609783502474,0.4256443232630042,0.4166666666666667,0.4136421118201012,0.6208333333333333,0.6333333333333333,0.636447734343001,18,"preprocess.channels=[1,2,3,4,5,6,7]"
motor only C3 Cz C4,0.3817227160972525,0.014568645475074716,0.3658692230275857,0.36666666666666664,0.32247291411721885,0.3875,0.3854166666666667,0.3281288791316204,15,"preprocess.channels=[1,2,3]"
cv by block (sanity: subject seen),0.49667016856382923,0.029387666777891102,0.4943330864601007,0.49444444444444446,0.4968248144718734,0.6645833333333333,0.6604166666666667,0.6611871145272287,20,cv.scheme=block
