variant,cv_acc,cv_std,cv_f1,app_acc,app_f1,oracle_folds,oracle_full,oracle_full_f1,secs,overrides
RA ts_lr,0.46407411244867064,0.041209930530707456,0.4607282341685227,0.4888888888888889,0.49187878787878786,0.6604166666666667,0.6708333333333333,0.6729020259333707,23,align.method=riemann
RA ts_lr + clip6,0.46359675046074045,0.045838086823452535,0.4596485642235316,0.4888888888888889,0.4890445402298851,0.65625,0.66875,0.6680183073644569,18,align.method=riemann preprocess.clip_sigma=6
RA ts_lr + clip6 + cov_window=window,0.4785870340807071,0.05520862926274109,0.4771276609594456,0.4444444444444444,0.43962924811782117,0.6916666666666667,0.6916666666666667,0.6879385400903121,21,align.method=riemann preprocess.clip_sigma=6 align.cov_window=window
RA csp_lr + clip6,0.4780884648027957,0.042691151003863254,0.474054191291017,0.4777777777777778,0.47303622303622306,0.63125,0.6291666666666667,0.6271487047575421,18,align.method=riemann preprocess.clip_sigma=6 model.name=csp_lr
RA csp_lr 8 filters + clip6,0.47550338719850893,0.03888969482312296,0.47154103497838573,0.5,0.4983474380770703,0.6229166666666667,0.625,0.6231652132937102,21,align.method=riemann preprocess.clip_sigma=6 model.name=csp_lr model.csp_filters=8
RA ts_lr + clip6 window 0.5-2.5,0.4723472052544401,0.04480324694543531,0.4685527541273295,0.49444444444444446,0.4947916666666667,0.65625,0.65625,0.6581676226757166,24,"align.method=riemann preprocess.clip_sigma=6 preprocess.window_s=[0.5,2.5]"
RA ts_lr + clip6 window 0.25-3.75,0.46048615163672074,0.04126094663676656,0.4561820045381001,0.5111111111111111,0.5131049356855808,0.6625,0.6604166666666667,0.6590716306646974,20,"align.method=riemann preprocess.clip_sigma=6 preprocess.window_s=[0.25,3.75]"
RA ts_lr + clip6 band 7-30,0.4620717685749079,0.044501143093336464,0.45797883654885335,0.4722222222222222,0.47100923530069577,0.6458333333333334,0.6541666666666667,0.653343310641042,39,"align.method=riemann preprocess.clip_sigma=6 preprocess.bandpass_hz=[7,30]"
RA ts_lr + clip6 band 8-35,0.4633951120969795,0.045595132711284764,0.4592973387875072,0.4888888888888889,0.49116147104884034,0.6458333333333334,0.6520833333333333,0.6520041060958438,37,"align.method=riemann preprocess.clip_sigma=6 preprocess.bandpass_hz=[8,35]"
RA fbts 8-13/13-20/20-30 (band 8-30),0.466341900133283,0.03958137166521611,0.46302616903740057,0.4111111111111111,0.41091510828352934,0.525,0.5291666666666667,0.5277871895879025,95,"align.method=riemann preprocess.clip_sigma=6 model.name=fbts_lr model.bands=[[8,13],[13,20],[20,30]]"
RA ts_lr + clip6 + include_application,0.46359675046074045,0.045838086823452535,0.4596485642235316,0.4888888888888889,0.4890445402298851,0.65625,0.6625,0.6620146477037144,22,align.method=riemann preprocess.clip_sigma=6 cv.include_application=true
