epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,354.379,2.10134,7.09434,0.01079,0.3578,0.17444,0.12903,0.04785,2.15828,3.61984,0.01449,0.000302693,0.000302693,0.000302693
2,709.976,2.16861,3.51531,0.01133,0.37748,0.18124,0.1241,0.04682,2.15898,3.6483,0.01486,0.000604769,0.000604769,0.000604769
3,1041.02,2.15288,3.36182,0.01135,0.25211,0.17151,0.13091,0.05003,2.12071,3.86259,0.01418,0.000903155,0.000903155,0.000903155
4,1367.7,2.13845,3.21725,0.01122,0.35165,0.26088,0.21475,0.08598,2.05252,3.03829,0.01355,0.000896568,0.000896568,0.000896568
5,1692.56,2.07556,2.97531,0.01063,0.37475,0.33814,0.27716,0.11009,2.01851,2.78729,0.01334,0.000886978,0.000886978,0.000886978
6,2015.81,2.03403,2.8487,0.0105,0.32028,0.29176,0.24282,0.10158,2.06005,2.83762,0.01374,0.000874749,0.000874749,0.000874749
7,2338.46,2.01925,2.75481,0.01036,0.38769,0.32125,0.31077,0.13454,1.95676,2.63544,0.01276,0.000859958,0.000859958,0.000859958
8,2662.22,1.98585,2.64762,0.01022,0.44215,0.36492,0.3443,0.14679,2.01401,2.51064,0.01335,0.000842695,0.000842695,0.000842695
9,2985.08,1.96624,2.52205,0.01009,0.50924,0.38445,0.386,0.16311,1.99304,2.39386,0.01335,0.000823066,0.000823066,0.000823066
10,3313.63,1.93044,2.43252,0.00973,0.48561,0.42157,0.41113,0.1888,1.90198,2.32933,0.01233,0.000801193,0.000801193,0.000801193
11,3643.36,1.92297,2.36851,0.0098,0.48728,0.46564,0.43691,0.19362,1.948,2.24362,0.01297,0.000777211,0.000777211,0.000777211
12,3969.74,1.93857,2.26385,0.00987,0.56737,0.46593,0.47496,0.21529,1.91665,2.07135,0.01266,0.000751267,0.000751267,0.000751267
